date,хлорофилл
1995-01-05,"0,36"
1995-03-02,"0,31"
1995-03-09,"0,81"
1995-03-15,"0,53"
1995-03-24,"0,64"
1995-03-30,"0,39"
1995-04-03,"0,42"
1995-05-05,"0,86"
1995-05-17,"0,64"
1995-05-30,"2,22"
1995-07-14,"1,00"
1995-07-26,"3,94"
1995-08-08,"2,14"
1995-08-23,"1,59"
1995-08-28,"1,45"
1995-09-14,
1995-09-21,"0,89"
1995-10-07,"1,18"
1995-10-19,"1,96"
1996-03-13,"0,50"
1996-03-18,"0,41"
1996-03-22,"0,47"
1996-03-27,"0,61"
1996-06-04,"0,66"
1996-06-11,"0,35"
1996-06-19,"0,41"
1996-07-02,"0,61"
1996-07-08,"0,73"
1996-07-16,"1,93"
1996-07-23,"3,04"
1996-07-29,"1,41"
1996-08-06,"1,65"
1996-08-18,"1,67"
1996-08-24,"1,71"
1996-09-02,"2,42"
1996-09-09,"2,19"
1996-09-13,"2,18"
1996-09-23,"1,73"
1996-10-04,"1,26"
1996-10-10,"1,28"
1996-10-20,"1,49"
1996-10-24,"1,33"
1996-11-06,"0,81"
1996-11-14,"0,41"
1996-11-21,"0,45"
1996-11-29,"0,07"
1996-12-05,"0,19"
1996-12-23,"0,35"
1996-12-26,"0,33"
1997-02-13,"0,71"
1997-02-20,"0,47"
1997-02-27,"0,77"
1997-03-06,"1,05"
1997-03-13,"1,85"
1997-03-20,"0,98"
1997-03-27,"1,27"
1997-05-04,"2,57"
1997-05-11,"5,42"
1997-05-22,"2,41"
1997-06-02,"2,45"
1997-06-09,"1,58"
1997-06-16,"0,76"
1997-06-23,"0,61"
1997-06-30,"0,60"
1997-07-07,"0,61"
1997-07-14,"0,88"
1997-07-21,"1,32"
1997-07-30,"2,85"
1997-08-04,"1,47"
1997-08-13,"1,71"
1997-08-18,"1,12"
1997-08-26,"0,86"
1997-09-02,"1,50"
1997-09-10,"1,53"
1997-09-16,"2,39"
1997-09-23,"2,24"
1997-10-01,"1,02"
1997-10-09,"0,60"
1997-10-17,"1,29"
1997-10-24,"0,49"
1997-11-04,"0,44"
1997-11-18,"0,26"
1997-12-01,"0,18"
1997-12-09,"0,17"
1997-12-25,"0,17"
1998-01-05,"0,19"
1998-02-02,"0,41"
1998-02-10,"0,41"
1998-02-17,"0,54"
1998-02-25,"0,69"
1998-03-03,"0,42"
1998-03-09,"0,64"
1998-03-18,"0,54"
1998-03-25,"0,54"
1998-04-01,"0,44"
1998-04-08,"0,53"
1998-05-08,"1,15"
1998-05-18,"1,53"
1998-05-25,"1,62"
1998-06-01,"2,11"
1998-06-08,"0,70"
1998-06-15,"0,51"
1998-06-23,"0,49"
1998-06-29,"0,44"
1998-07-06,"0,52"
1998-07-10,"0,48"
1998-07-19,"0,67"
1998-07-28,"0,88"
1998-08-03,"0,21"
1998-08-11,"1,97"
1998-08-17,"2,95"
1998-08-25,"1,91"
1998-09-01,"2,17"
1998-09-07,"2,49"
1998-09-16,"2,15"
1998-09-24,"2,08"
1998-10-01,"2,78"
1998-10-09,"1,68"
1998-10-16,"1,49"
1998-10-22,"1,12"
1998-10-28,"0,67"
1998-11-11,"0,34"
1998-11-19,"0,61"
1998-11-26,"0,50"
1998-12-04,"0,46"
1998-12-10,"0,24"
1998-12-29,"0,14"
1999-01-04,"0,52"
1999-01-29,"0,68"
1999-02-04,"1,27"
1999-02-11,"1,45"
1999-02-18,"1,25"
1999-02-25,"1,35"
1999-03-04,"1,22"
1999-03-12,"2,26"
1999-03-16,"1,70"
1999-03-23,"2,08"
1999-03-30,"1,58"
1999-04-05,"1,70"
1999-04-12,"1,30"
1999-05-05,"1,22"
1999-05-14,"0,84"
1999-05-20,"1,45"
1999-05-27,"1,48"
1999-06-02,"1,31"
1999-06-10,"1,59"
1999-06-17,"1,47"
1999-06-24,"1,83"
1999-06-30,"2,57"
1999-07-07,"3,47"
1999-07-13,"2,63"
1999-07-20,"1,57"
1999-07-31,"2,54"
1999-08-04,"1,65"
1999-08-16,"1,55"
1999-08-23,"1,89"
1999-08-31,"1,83"
1999-09-08,"1,71"
1999-09-15,"1,98"
1999-09-23,"1,51"
1999-09-29,"1,73"
1999-10-05,"1,70"
1999-10-13,"0,92"
1999-10-20,"1,37"
1999-10-28,"0,29"
1999-11-04,"0,54"
1999-11-10,"0,44"
1999-11-26,"0,12"
1999-12-03,"0,13"
1999-12-08,"0,10"
1999-12-26,"0,13"
2000-01-08,"0,15"
2000-01-27,"0,24"
2000-02-02,"0,20"
2000-02-09,"0,33"
2000-02-16,"0,36"
2000-02-23,"0,69"
2000-03-01,"0,69"
2000-03-07,"1,63"
2000-03-15,"3,40"
2000-03-22,"3,38"
2000-03-29,"2,79"
2000-04-05,"4,81"
2000-04-12,"4,57"
2000-05-13,"3,80"
2000-05-25,"0,90"
2000-06-01,"0,71"
2000-06-08,"0,37"
2000-06-15,"0,35"
2000-06-23,"0,34"
2000-06-29,"0,29"
2000-07-05,"0,95"
2000-07-11,"0,81"
2000-07-21,"2,27"
2000-07-27,"1,28"
2000-08-08,"2,51"
2000-08-17,"0,21"
2000-08-23,"2,37"
2000-08-31,"2,34"
2000-09-21,"2,00"
2000-09-28,"1,30"
2000-10-07,"0,72"
2000-10-18,"0,50"
2000-11-02,"0,46"
2000-11-10,"0,33"
2000-11-16,"0,37"
2000-11-30,"0,15"
2000-12-11,"0,14"
2000-12-21,"0,33"
2001-01-17,"0,52"
2001-01-25,"0,41"
2001-02-01,"0,57"
2001-02-08,"0,70"
2001-02-15,"0,78"
2001-02-22,"0,78"
2001-03-01,"0,73"
2001-03-11,"1,06"
2001-03-15,"0,83"
2001-03-22,"1,23"
2001-03-29,"1,28"
2001-04-05,"1,14"
2001-05-30,"0,54"
2001-06-09,"0,66"
2001-06-20,"0,26"
2001-06-28,"0,49"
2001-07-05,"0,25"
2001-07-16,"1,51"
2001-07-24,"1,41"
2001-08-06,"0,85"
2001-08-25,"1,40"
2001-09-11,"1,25"
2001-09-28,"1,51"
2001-10-25,"1,38"
2001-11-05,"0,53"
2001-11-14,"0,38"
2001-11-25,"0,26"
2001-12-05,"0,05"
2001-12-20,"0,15"
2001-12-27,"0,32"
2002-01-04,"0,12"
2002-02-21,"1,47"
2002-02-28,"0,80"
2002-03-06,"0,85"
2002-03-14,"1,29"
2002-05-16,"1,93"
2002-05-24,"1,40"
2002-05-29,"2,65"
2002-06-13,"1,28"
2002-06-18,"0,28"
2002-06-25,"0,54"
2002-07-03,"0,34"
2002-07-09,"0,74"
2002-07-16,"0,70"
2002-07-23,"2,08"
2002-08-01,"1,07"
2002-08-08,"0,94"
2002-08-13,"1,30"
2002-08-22,"0,98"
2002-08-30,"1,36"
2002-09-19,"0,85"
2002-09-28,"1,08"
2002-10-15,"0,80"
2002-10-22,"0,75"
2002-10-31,"0,35"
2002-11-10,"0,40"
2002-11-14,"0,27"
2002-11-21,"0,22"
2003-02-04,"0,88"
2003-02-11,"2,05"
2003-02-18,"1,24"
2003-02-25,"0,80"
2003-03-04,"1,03"
2003-03-11,"0,74"
2003-03-15,"1,08"
2003-03-25,"1,60"
2003-04-01,"2,04"
2003-04-13,"1,83"
2003-06-17,"0,36"
2003-06-25,"0,53"
2003-07-01,"0,28"
2003-07-10,"1,10"
2003-07-18,"2,44"
2003-07-22,"2,58"
2003-07-29,"2,58"
2003-08-04,"0,37"
2003-08-11,"1,36"
2003-08-18,"0,89"
2003-08-27,"2,53"
2003-09-02,"1,61"
2003-09-16,"1,70"
2003-10-02,"1,13"
2003-10-09,"1,14"
2003-10-16,"0,62"
2003-10-23,"0,89"
2003-10-31,"0,80"
2003-11-05,"0,50"
2003-11-13,"0,28"
2003-11-20,"0,26"
2003-11-27,"0,20"
2003-12-06,"0,19"
2004-02-19,"1,05"
2004-02-25,"1,72"
2004-03-03,"1,45"
2004-03-10,"0,88"
2004-03-17,"1,18"
2004-05-28,"0,75"
2004-06-04,"0,93"
2004-06-16,"0,38"
2004-06-22,"0,32"
2004-07-01,"0,27"
2004-07-07,"0,59"
2004-07-14,"0,90"
2004-07-21,"1,89"
2004-07-27,"1,99"
2004-08-03,"2,12"
2004-08-16,"1,44"
2004-08-23,"1,18"
2004-09-02,"0,08"
2004-09-20,"0,88"
2004-09-29,"1,70"
2004-10-07,"1,67"
2004-10-15,"1,33"
2004-10-22,"1,23"
2004-10-28,"0,76"
2004-11-14,"0,55"
2004-11-18,"0,26"
2004-11-25,"0,22"
2004-12-02,"0,20"
2004-12-17,"0,29"
2004-12-28,"0,31"
2005-02-16,"1,45"
2005-02-24,"0,95"
2005-03-02,"1,15"
2005-03-10,"1,06"
2005-03-16,"0,75"
2005-03-25,"0,79"
2005-03-30,"0,79"
2005-05-19,"0,23"
2005-05-31,"0,29"
2005-06-08,"0,17"
2005-06-18,"0,17"
2005-06-26,"0,33"
2005-07-06,"0,51"
2005-07-12,"1,29"
2005-07-21,"2,64"
2005-07-27,"1,61"
2005-08-02,"1,13"
2005-08-09,"1,49"
2005-08-21,"1,32"
2005-08-28,"1,16"
2005-09-06,"0,80"
2005-09-25,"0,99"
2005-10-03,"1,69"
2005-10-17,"0,08"
2005-10-25,"1,51"
2005-11-02,"1,10"
2005-11-10,"0,69"
2005-11-17,"0,76"
2005-11-27,"0,29"
2005-12-01,"0,16"
2005-12-12,"0,11"
2005-12-26,"0,06"
2006-02-22,"0,82"
2006-03-01,"0,64"
2006-03-07,"0,62"
2006-03-16,"0,71"
2006-03-22,"0,59"
2006-03-28,"0,79"
2006-04-19,"0,86(2м)"
2006-06-02,"0,28"
2006-06-09,"0,33"
2006-06-20,"0,07"
2006-07-03,"0,30"
2006-07-11,"0,32"
2006-07-22,"0,53"
2006-08-04,"3,40"
2006-08-10,"2,26"
2006-08-16,"2,16"
2006-08-24,"2,12"
2006-09-13,"1,42"
2006-09-26,"2,24"
2006-10-05,"1,89"
2006-10-12,"1,47"
2006-10-19,"1,14"
2006-10-26,"0,72"
2006-11-02,"0,66"
2006-11-08,"0,34"
2006-11-16,"0,39"
2006-11-23,"0,34"
2006-12-01,"0,18"
2006-12-19,"0,12"
2006-12-28,"0,36"
2007-02-25,"1,30"
2007-03-11,"1,69"
2007-03-20,"3,01"
2007-03-31,"1,58"
2007-05-02,"2,40"
2007-05-10,"2,84"
2007-05-19,"2,05"
2007-05-31,"0,88"
2007-06-09,"0,35"
2007-06-19,"0,41"
2007-06-29,"0,46"
2007-07-05,"0,85"
2007-07-11,"0,72"
2007-07-23,"2,18"
2007-08-05,"0,66"
2007-08-18,"1,16"
2007-08-24,"1,06"
2007-08-30,"0,84"
2007-09-09,"1,08"
2007-09-17,"1,47"
2007-09-28,"1,02"
2007-10-08,"1,04"
2007-10-18,"1,03"
2007-10-29,"0,98"
2007-11-07,"0,69"
2007-11-18,"0,16"
2007-11-28,"0,17"
2007-12-16,"0,11"
2007-12-23,"0,16"
2008-02-11,"0,42"
2008-02-25,"0,93"
2008-03-03,"0,84"
2008-03-10,"1,12"
2008-03-19,"1,55"
2008-06-03,"1,38"
2008-06-10,"0,65"
2008-06-17,"0,60"
2008-06-26,"0,28"
2008-07-03,"0,35"
2008-07-10,"1,73"
2008-07-16,"1,92"
2008-07-22,"2,57"
2008-08-05,"1,51"
2008-08-12,"0,96"
2008-08-19,"1,24"
2008-09-01,"1,02"
2008-09-10,"1,21"
2008-09-19,"1,05"
2008-09-29,"1,03"
2008-10-08,"1,63"
2008-10-26,"1,29"
2008-11-04,"0,79"
2008-11-24,"0,14"
2008-11-29,"0,08"
2008-12-17,"0,01"
2009-02-25,"0,73"
2009-03-03,"0,66"
2009-03-19,"0,70"
2009-03-26,"0,73"
2009-04-01,"0,92"
2009-05-08,"1,19"
2009-05-18,"0,62"
2009-05-29,"0,25"
2009-06-03,"0,27"
2009-06-10,"0,17"
2009-06-17,"0,15"
2009-06-27,"0,20"
2009-07-06,"0,23"
2009-07-17,"0,87"
2009-07-24,"2,14"
2009-07-30,"1,40"
2009-08-07,"1,15"
2009-08-14,"1,03"
2009-08-21,"0,87"
2009-08-27,"1,73"
2009-09-05,"1,37"
2009-09-28,"1,20"
2009-10-08,"1,02"
2009-10-16,"0,93"
2009-10-22,"1,20"
2009-11-02,"0,70"
2009-11-12,"0,39"
2009-11-26,"0,26"
2009-12-06,"0,29"
2009-12-13,"0,22"
2010-02-17,"0,83"
2010-02-26,"1,09"
2010-03-16,"1,47"
