date,хлорофилл,горизонт
1995-01-05,"0,22",0.0
1995-01-05,"0,36",5.0
1995-01-05,"0,37",10.0
1995-01-05,"0,21",25.0
1995-01-05,"0,09",50.0
1995-03-02,"0,40",0.0
1995-03-02,"0,31",5.0
1995-03-02,"0,37",10.0
1995-03-02,"0,10",25.0
1995-03-02,"0,66",50.0
1995-03-02,"0,13",100.0
1995-03-02,"0,28",150.0
1995-03-02,"0,51",200.0
1995-03-02,"0,29",250.0
1995-03-09,"0,39",0.0
1995-03-09,"0,81",5.0
1995-03-09,"1,02",10.0
1995-03-09,"0,31",25.0
1995-03-09,"0,73",50.0
1995-03-09,"0,36",100.0
1995-03-09,"0,10",150.0
1995-03-09,"0,05",200.0
1995-03-09,"0,14",250.0
1995-03-15,"0,89",0.0
1995-03-15,"0,53",5.0
1995-03-15,"1,62",10.0
1995-03-15,"0,23",25.0
1995-03-15,"0,59",50.0
1995-03-15,"0,27",100.0
1995-03-15,"0,04",150.0
1995-03-15,"0,00",200.0
1995-03-15,"0,16",250.0
1995-03-24,"0,83",0.0
1995-03-24,"0,64",5.0
1995-03-24,"0,87",10.0
1995-03-24,"0,45",25.0
1995-03-24,"0,51",50.0
1995-03-24,"0,35",100.0
1995-03-24,"0,00",150.0
1995-03-24,"0,08",200.0
1995-03-24,"0,59",250.0
1995-03-30,"0,31",0.0
1995-03-30,"0,39",5.0
1995-03-30,"0,47",10.0
1995-03-30,"0,08",25.0
1995-03-30,"0,39",50.0
1995-03-30,"0,10",100.0
1995-03-30,"0,00",150.0
1995-03-30,"0,05",200.0
1995-03-30,"0,00",250.0
1995-04-03,"0,05",0.0
1995-04-03,"0,42",5.0
1995-04-03,"0,69",10.0
1995-04-03,"0,52",25.0
1995-04-03,"0,09",50.0
1995-04-03,"0,30",100.0
1995-04-03,"0,00",150.0
1995-04-03,"0,48",200.0
1995-04-03,"0,00",250.0
1995-05-05,"0,96",0.0
1995-05-05,"0,86",5.0
1995-05-05,"0,79",10.0
1995-05-05,"0,51",25.0
1995-05-05,"0,87",50.0
1995-05-05,"0,17",100.0
1995-05-05,"0,66",150.0
1995-05-05,"0,15",200.0
1995-05-05,"0,40",250.0
1995-05-17,"0,95",0.0
1995-05-17,"0,64",5.0
1995-05-17,"1,01",10.0
1995-05-17,"1,11",25.0
1995-05-17,"1,23",50.0
1995-05-17,"1,08",100.0
1995-05-17,"1,10",150.0
1995-05-17,"0,92",200.0
1995-05-17,"1,18",250.0
1995-05-30,"2,68",0.0
1995-05-30,"2,22",5.0
1995-05-30,"3,38",10.0
1995-05-30,"2,30",25.0
1995-05-30,"3,91",50.0
1995-05-30,"2,37",100.0
1995-05-30,"1,95",150.0
1995-05-30,"2,17",200.0
1995-05-30,"1,50",250.0
1995-07-14,"0,44",0.0
1995-07-14,"1,00",5.0
1995-07-14,"1,40",10.0
